University,Department,Overall_Pay,LW_Ratio,Academic_Year,Program_Year,12_M_Gross_Pay,9_M_Gross_Pay,3_M_Gross_Pay,Fees
Anna University,civil,84000,,2015-2016,2nd,,67000,45000,28000
Arizona State University (ASU),school of earth and space exploration,32700,1.47,2024-2025,1st,32700,,,
Arizona State University (ASU),Computer Engineering,32000,1.44,2023-2024,1st,35000,,,3000
Arizona State University (ASU),School of Human Evolution and Social Change,24000,1.08,2023-2024,,,24000,,
Arizona State University (ASU),Economics PhD,37000,1.67,2024-2025,1st,,35000,2000,
Arizona State University (ASU),economics,22500,1.01,2024-2025,1st,22500,,,
Arizona State University (ASU),Chemical Engineering ,30689,1.38,2024-2025,1st,,24586,7375,1272
Arizona State University (ASU),Electrical Computer and Energy Engineering,35000,1.58,2024-2025,1st,35000,,,
Arizona State University (ASU),School of Susatainability ,24539,1.11,2024-2025,1st,,25039,,500
Arizona State University (ASU),School of Susatainability ,24539,1.11,2024-2025,1st,,25039,,500
Arizona State University (ASU),Materials Science & Engineering ,32500,1.46,2024-2025,1st,32500,,,
Arizona State University (ASU),,56685,2.55,2023-2024,,56685,,,
Arizona State University (ASU),Edson College/ Nursing and Healthcare Innovation ,28889,1.3,2024-2025,2nd,29289,,,400
Arizona State University (ASU),Geoscience,32781,1.48,2023-2024,1st,32781,,,
Arizona State University (ASU),Design School,,0,2022-2023,2nd,2000,,,2000
Arizona State University (ASU),molecular and cellular biology,28100,1.27,2022-2023,2nd,29000,,,900
Arizona State University (ASU),Electrical Engineering ,36800,1.66,2023-2024,5th,,26000,13800,3000
Arizona State University (ASU),Finance,36000,1.62,2023-2024,1st,36000,,,
Arizona State University (ASU),School of Earth and Space Exploration,32000,1.44,2023-2024,1st,32000,,,
Arizona State University (ASU),Computer Science,35000,1.58,2023-2024,1st,35000,,,
Arizona State University (ASU),Computer Science,52263,2.36,2023-2024,1st,52263,,,
Arizona State University (ASU),Physics,23000,1.04,2023-2024,1st,24000,,,1000
Arizona State University (ASU),Political Science,22500,1.01,2022-2023,1st,,23000,,500
Arizona State University (ASU),bio chem,30000,1.35,2023-2024,1st,30000,,,
Arizona State University (ASU),bio chem,30000,1.35,2023-2024,1st,30000,,,
Arizona State University (ASU),Electrical Computer and Energy Engineering,30000,1.35,2023-2024,1st,30000,,,
Arizona State University (ASU),Sms,31700,1.43,2023-2024,1st,,24500,8000,800
Arizona State University (ASU),SGSUP,27350,1.23,2022-2023,2nd,,24000,4000,650
Arizona State University (ASU),Anthropology,24586,1.11,2023-2024,1st,24586,,,
Arizona State University (ASU),Bioengineering,23000,1.04,2022-2023,1st,,23000,,
Arizona State University (ASU),Astrophysics,31279,1.41,2022-2023,1st,,21879,10000,600
Arizona State University (ASU),Criminology,24500,1.1,2022-2023,1st,,26000,,1500
Arizona State University (ASU),Economics,28500,1.28,2020-2021,1st,28500,,,
Arizona State University (ASU),School of Earth and Space Exploration,29900,1.35,2020-2021,1st,31000,,,1100
Arizona State University (ASU),School of Earth and Space Exploration,19893,0.9,2021-2022,1st,,19893,,
Arizona State University (ASU),SESE,19893,0.9,2021-2022,1st,,19893,,
Arizona State University (ASU),Engineering ,30000,1.35,2022-2023,1st,,30000,,
Arizona State University (ASU),Engineering ,30000,1.35,2022-2023,1st,,30000,,
Arizona State University (ASU),Family and Human Development,19172,0.86,2022-2023,1st,,19172,,
Arizona State University (ASU),School of Geographical Sciences and Urban Planning,24800,1.12,2021-2022,1st,,22000,4000,1200
Arizona State University (ASU),College of Liberal Arts and Sciences,18372,0.83,2021-2022,1st,,19172,,800
Arizona State University (ASU),Microbiology PhD,24870,1.12,2022-2023,1st,25320,,,450
Arizona State University (ASU),School of Life Sciences,24320,1.1,2022-2023,1st,25320,,,1000
Arizona State University (ASU),School of Life Sciences/Biology and Society,24870,1.12,2021-2022,1st,25320,,,450
Arizona State University (ASU),,50857,2.29,2020-2021,1st,50857,,,
Arizona State University (ASU),,18714,0.84,2021-2022,1st,,19158,,444
Arizona State University (ASU),Astrophysics,26524,1.2,2022-2023,1st,,19893,6631,
Arizona State University (ASU),School for the Future of Innovation in Society,17900,0.81,2020-2021,5th,,18500,,600
Arizona State University (ASU),School of Life Sciences,22600,1.02,2020-2021,2nd,23000,,,400
Arizona State University (ASU),SHESC,18284,0.82,2021-2022,3rd,,19172,,888
Arizona State University (ASU),Sanford School,24000,1.08,2022-2023,4th,,22000,2000,
Arizona State University (ASU),Sustainability,8331,0.38,2021-2022,4th,,8875,,544
Arizona State University (ASU),SBHSE/Biomedical Engineering,24340,1.1,2020-2021,4th,,19980,6660,2300
Arizona State University (ASU),Teachers College,21000,0.95,2020-2021,2nd,,15000,6000,
Arizona State University (ASU),SEMTE,21266,0.96,2021-2022,5th,,20100,6366,5200
Arizona State University (ASU),School of Human Evolution and Social Change/Anthropology,18200,0.82,2020-2021,2nd,,19000,,800
Arizona State University (ASU),School of Life Sciences/Biology,25400,1.14,2020-2021,,25400,,,
Arizona State University (ASU),School of Molecular Sciences,25000,1.13,2020-2021,3rd,25500,,,500
Arizona State University (ASU),School of Molecular Sciences,24800,1.12,2020-2021,4th,25000,,,200
Arizona State University (ASU),mechanical engineering,19172,0.86,2021-2022,1st,,19172,,
Arizona State University (ASU),Psychology PhD,25000,1.13,2021-2022,1st,25000,,,
Arizona State University (ASU),Human Systems Engineering,29000,1.31,2020-2021,1st,30000,,,1000
Arizona State University (ASU),History,19172,0.86,2021-2022,2nd,,19172,,
Arizona State University (ASU),School of Sustainable Engineering and Built Environmental,22500,1.01,2020-2021,2nd,26000,,,3500
Arizona State University (ASU),Anthropology,19100,0.86,2021-2022,1st,,19100,,
Arizona State University (ASU),,23000,1.04,2020-2021,,25000,,,2000
Arizona State University (ASU),Career Serviced,5850,0.26,2020-2021,,,5850,,
Arizona State University (ASU),Family and Human Development,22000,0.99,2020-2021,3rd,,22000,,
Arizona State University (ASU),Biological Design Graduate Program,10570,0.48,2020-2021,3rd,11520,,,950
Arizona State University (ASU),Biological Design,25000,1.13,2020-2021,1st,25000,,,
Arizona State University (ASU),Mechanical Engineering,25450,1.15,2020-2021,,,22320,5130,2000
Arizona State University (ASU),History,18564,0.84,2020-2021,1st,,18564,,
Arizona State University (ASU),Sustainability ,17000,0.77,2020-2021,1st,,17000,,
Arizona State University (ASU),,17100,0.77,2020-2021,1st,17100,,,
Arizona State University (ASU),,122272,5.51,2020-2021,1st,122272,,,
Arizona State University (ASU),Electrical engineering,21400,0.96,2020-2021,1st,,17100,5100,800
Arizona State University (ASU),Geoscience,23484,1.06,2020-2021,,23484,,,
Arizona State University (ASU),,23484,1.06,2020-2021,,23484,,,
Arizona State University (ASU),Political Science,18000,0.81,2018-2019,2nd,18000,,,
Arizona State University (ASU),school of human evolution and social change,16850,0.76,2018-2019,6th and up,,18000,,1150
Arizona State University (ASU),School of Human Evolution and Social Change,17112,0.77,2019-2020,6th and up,,18000,,888
Arizona State University (ASU),Computer Engineering,16000,0.72,2017-2018,5th,18000,,,2000
Arizona State University (ASU),Computer Engineering,30000,1.35,2016-2017,5th,30000,,,
Arizona State University (ASU),Computer Engineering,30000,1.35,2015-2016,5th,30000,,,
Arizona State University (ASU),Chemistry,26911,1.21,2019-2020,5th,26911,,,
Arizona State University (ASU),Physics PhD,15167,0.68,2018-2019,1st,,15631,,464
Arizona State University (ASU),School of molecular science,20780,0.94,2018-2019,5th,21580,,,800
Arizona State University (ASU),Counseling & Counseling Psychology,16862,0.76,2018-2019,4th,,17100,,238
Arizona State University (ASU),Social Work,18500,0.83,2018-2019,2nd,20000,,,1500
Arizona State University (ASU),School of Human Evolution and Social Change,25200,1.14,2019-2020,3rd,,20000,6000,800
Arizona State University (ASU),Psychology,23400,1.05,2018-2019,3rd,24000,,,600
Arizona State University (ASU),School of Biological and Health Systems Engineering ,16200,0.73,2018-2019,4th,19200,,,3000
Arizona State University (ASU),School of Sustainable Engineering and the Built Environment,25800,1.16,2018-2019,,27500,,,1700
Arizona State University (ASU),Chemistry,23150,1.04,2019-2020,1st,23600,,,450
Arizona State University (ASU),Physics,15000,0.68,2018-2019,,15000,,,
Arizona State University (ASU),Management,28000,1.26,2018-2019,1st,30000,,,2000
Arizona State University (ASU),Business Administration (Management),28000,1.26,2018-2019,1st,30000,,,2000
Arizona State University (ASU),Spanish,16000,0.72,2019-2020,4th,16000,,,
Arizona State University (ASU),Microbiology Ph.D.,28013,1.26,2019-2020,1st,,22913,5450,350
Arizona State University (ASU),Anthropology,18000,0.94,2007-2008,1st,18000,,,
Arizona State University (ASU),College of Health Solutions,17000,0.77,2018-2019,3rd,,17000,,
Arizona State University (ASU),family and human development,20000,0.9,2018-2019,1st,,18000,2000,
Arizona State University (ASU),Materials Science,30000,1.35,2019-2020,1st,30000,,,
Arizona State University (ASU),sustainability,15030,0.68,2019-2020,1st,,16000,,970
Arizona State University (ASU),political science,17000,0.77,2018-2019,2nd,,18000,,1000
Arizona State University (ASU),Religious Studies,17502,,2018-2019,3rd,,18500,,998
Arizona State University (ASU),School for the Future of Innovation in Society,16357,0.74,2018-2019,2nd,,17355,,998
Arizona State University (ASU),School of Molecular Sciences,22874,1.03,2017-2018,5th,23602,,,728
Arizona State University (ASU),School of Politics and Global Studies,17650,0.8,2018-2019,3rd,,18000,,350
Arizona State University (ASU),Business,27000,1.22,2018-2019,1st,27000,,,
Arizona State University (ASU),Kinesiology,14200,0.64,2016-2017,1st,14200,,,
Arizona State University (ASU),Neuroscience,15200,0.68,2016-2017,1st,15200,,,
Arizona State University (ASU),Bioinformatics,14800,0.67,2016-2017,1st,14800,,,
Arizona State University (ASU),Psychology,13500,0.61,2016-2017,1st,13500,,,
Arizona State University (ASU),Bioinformatics,18500,0.83,2017-2018,1st,18500,,,
Arizona State University (ASU),Education,17500,0.79,2017-2018,2nd,17500,,,
Arizona State University (ASU),Neuroscience,25000,1.13,2018-2019,,25000,,,
Arizona State University (ASU),School of Human Evolution and Social Change/Global Health,17350,0.78,2018-2019,1st,,18000,,650
Arizona State University (ASU),Hugh Downs School of Human Communication,18750,0.84,2018-2019,2nd,,16000,3000,250
Arizona State University (ASU),Electrical,17100,0.77,2016-2017,,,18000,,900
Arizona State University (ASU),SEMTE,28500,1.28,2017-2018,1st,30000,,,1500
Arizona State University (ASU),,15000,0.68,2017-2018,1st,15000,,,
Arizona State University (ASU),Materials Science & Engineering,25902,1.17,2017-2018,5th,27500,,,1598
Arizona State University (ASU),School of Earth and Space Exploration ,21000,0.95,2017-2018,1st,,16000,5000,
Arizona State University (ASU),Engineering ,30000,1.35,2017-2018,1st,30000,,,
Arizona State University (ASU),,17000,0.77,2016-2017,1st,17000,,,
Arizona State University (ASU),Computer Science,29200,1.32,2017-2018,2nd,,20000,13200,4000
Arizona State University (ASU),Civil engineering ,30300,1.37,2017-2018,1st,32000,,,1700
Arizona State University (ASU),Computer Science,25500,1.15,2016-2017,2nd,27500,,,2000
Arizona State University (ASU),Criminology and Criminal Justice,18900,0.85,2017-2018,4th,,16000,3500,600
Arizona State University (ASU),School of Earth and Space Exploration,19400,0.87,2016-2017,2nd,20000,,,600
Arizona State University (ASU),SESE,21830,0.98,2016-2017,3rd,,17160,5720,1050
Arizona State University (ASU),School of Earth and Space Exploration,19981,0.9,2016-2017,3rd,,15631,5210,860
Arizona State University (ASU),,14400,0.65,2016-2017,3rd,,16000,,1600
Arizona State University (ASU),Astrophysics,19700,0.89,2016-2017,,20000,,,300
Arizona State University (ASU),SEMTE,20300,0.91,2016-2017,2nd,,5100,17000,1800
Arizona State University (ASU),Electrical Engineering,27000,1.22,2017-2018,1st,27000,,,
Arizona State University (ASU),history,18500,0.83,2016-2017,1st,18500,,,
Arizona State University (ASU),Computer Engineering,19104,0.86,2016-2017,,,16000,4800,1696
Arizona State University (ASU),Political Science,16700,0.75,2016-2017,1st,,17500,,800
Arizona State University (ASU),mechanical engineering ,17474,0.79,2016-2017,1st,,44560,,27086
Arizona State University (ASU),mechanical engineering ,17474,0.79,2016-2017,1st,,44560,,27086
Arizona State University (ASU),mechanical engineering ,7086,0.32,2016-2017,1st,,15200,4800,27086
Arizona State University (ASU),School of International Letters and Cultures,14500,0.65,2016-2017,1st,,15000,,500
Arizona State University (ASU),Business,22000,0.99,2016-2017,1st,,22000,,
Arizona State University (ASU),Family and Human Development,22100,1,2016-2017,1st,,20100,2000,
Arizona State University (ASU),School of Life Science,16314,0.74,2016-2017,1st,,16564,,250
Arizona State University (ASU),Political Science,17500,0.79,2016-2017,1st,,17500,,
Arizona State University (ASU),Family & Human Development,22500,1.18,2014-2015,2nd,,20500,2000,
Arizona State University (ASU),Business,30000,1.57,2014-2015,1st,30000,,,
Arizona State University (ASU),Chinese,15000,0.68,2015-2016,1st,15000,,,
Arizona State University (ASU),Teacher's College,25000,1.31,2014-2015,3rd,,25000,,
Arizona State University (ASU),Math,15000,0.78,2014-2015,,,15000,,
Arkansas State University,Molecular Biosciences,19600,,2019-2020,2nd,19600,,,
Athens Ohio,Physics,27000,,2021-2022,1st,,27000,,
Auburn University (AU),Industrial Engineering,29000,1.34,2024-2025,5th,30000,,,1000
Auburn University (AU),Industrial Engineering,29000,1.34,2024-2025,5th,30000,,,1000
Auburn University (AU),Industrial and Systems engineering,17000,0.78,2023-2024,3rd,18000,,,1000
Auburn University (AU),mechanical Engineering,18900,0.87,2024-2025,3rd,22000,,,3100
Auburn University (AU),Consumer and Design Sciences,18250,0.84,2023-2024,1st,,18250,,
Auburn University (AU),Pharmaceutical Sciences,17000,0.78,2023-2024,4th,20000,,,3000
Auburn University (AU),Civil Engineering ,48000,,2023-2024,,2000,,,50000
Auburn University (AU),Chemistry,29000,1.34,2024-2025,1st,29000,,,
Auburn University (AU),Student Affairs/Housing,16460,0.76,2022-2023,3rd,18160,,,1700
Auburn University (AU),Consumer and Design Sciences,17516,0.81,2022-2023,1st,,18250,,734
Auburn University (AU),Consumer and Design Sciences,17516,0.81,2022-2023,1st,,18250,,734
Auburn University (AU),Business,33000,,2022-2023,,,25000,8000,
Auburn University (AU),Mathematics and Statistics,22282,1.03,2022-2023,1st,,22282,,
Auburn University (AU),Counseling ,13500,0.62,2022-2023,3rd,,15000,,1500
Auburn University (AU),Crops and Soil sciences,27300,1.26,2020-2021,1st,28000,,,700
Auburn University (AU),Materials,20700,0.96,2021-2022,4th,24200,,,3500
Auburn University (AU),Chemical engineering,22600,1.04,2021-2022,2nd,24000,,,1400
Auburn University (AU),EEB,21310,0.98,2021-2022,,,23410,,2100
Auburn University (AU),Psychology,14800,0.68,2020-2021,1st,,12000,4000,1200
Auburn University (AU),Biological sciences ,20400,0.94,2020-2021,3rd,,24000,,3600
Auburn University (AU),Biology,20300,0.94,2020-2021,5th,21000,,,700
Auburn University (AU),Management,28000,1.29,2020-2021,1st,,21000,7000,
Auburn University (AU),Wildlife Sciences,24750,1.14,2018-2019,3rd,28750,,,4000
Auburn University (AU),Mathematics,13393,0.62,2019-2020,1st,,14040,,647
Auburn University (AU),SERC,1195,0.06,2018-2019,2nd,1195,,,
Auburn University (AU),mechanical engineering,19000,0.88,2018-2019,1st,19000,,,
Auburn University (AU),Biosystems Engineering,20900,0.96,2018-2019,3rd,24000,,,3100
Auburn University (AU),Chemistry and Biochemistry,24300,1.12,2018-2019,3rd,25500,,,1200
Auburn University (AU),Chemical ,21000,0.97,2016-2017,,24000,,,3000
Auburn University (AU),,14000,0.65,2016-2017,1st,14000,,,
Auburn University (AU),Anatomy Physiology and Pharmacology,20200,0.93,2017-2018,3rd,20200,,,
Auburn University (AU),Electrical,9900,0.46,2017-2018,2nd,,9900,,
Auburn University (AU),Psychology,10260,0.47,2017-2018,5th,,10260,,
Auburn University (AU),Biological Sciences,20000,,2017-2018,2nd,21000,,,1000
Auburn University (AU),CADS,11450,0.53,2015-2016,,,12000,,550
Auburn University (AU),Aerospace Program,10200,0.47,2017-2018,1st,10200,,,
Auburn University (AU),Chemical Engineering,24000,1.11,2017-2018,1st,24000,,,
Auburn University (AU),Rural Sociology ,15000,0.69,2016-2017,1st,,15000,,
Auburn University (AU),Chemical Engineering,23070,1.07,2016-2017,4th,24000,,,930
Auburn University (AU),Mechanical Engineering,17450,0.81,2015-2016,1st,18000,,,550
Augusta University,Computer science,2824,,2024-2025,3rd,,,,2824
Augusta University,Biomedical Sciences,24870,,2021-2022,1st,27000,,,2130
Augusta University,Biomedical,25000,,2017-2018,1st,25000,,,
Australian National University,Political Science,28694,,2020-2021,2nd,28854,,,160
Australian National University,RseS,29000,,2020-2021,3rd,29000,,,
Ball State University (BSU),Environmental Science,17000,0.85,2018-2019,,,19500,,2500
Ball State University (BSU),Counseling Psychology Social Psychology and Mental Health Counseling,6500,0.32,2018-2019,1st,10500,,,4000
Ball State University (BSU),English,15133,0.75,2016-2017,,15133,,,
Bard College,Bard Graduate Center (NYC),27350,,2020-2021,4th,28000,,,650
Bard Graduate Center,Material culture design history archaeology,42000,,2021-2022,3rd,42000,,,
Bath,Computer Science,16557,,2015-2016,2nd,16557,,,
Baylor College of Medicine,Genetics ,38550,1.76,2024-2025,2nd,38600,,,50
Baylor College of Medicine,MSTP,36840,1.69,2024-2025,,37500,,,660
Baylor College of Medicine,Development Disease Models & Therapeutics (DDMT),32400,1.48,2024-2025,2nd,37500,,,5100
Baylor College of Medicine,MSTP,34900,1.6,2022-2023,1st,35500,,,600
Baylor College of Medicine,Graduate School of Biomedical Sciences ,35300,1.62,2022-2023,1st,35500,,,200
Baylor College of Medicine,biomedical ,32500,1.49,2023-2024,1st,37500,,,5000
Baylor College of Medicine,Graduate School of Biomedical Sciences,35500,1.62,2022-2023,3rd,35500,,,
Baylor College of Medicine,Graduate School of Biomedical Sciences,37500,1.72,2023-2024,4th,37500,,,
Baylor College of Medicine,Immunology & Microbiology,35500,1.62,2022-2023,1st,35500,,,
Baylor College of Medicine,Neuroscience ,35550,1.63,2021-2022,1st,35550,,,
Baylor College of Medicine,Quantitative and Computational Biosciences Ph.D. Program,34500,1.58,2020-2021,3rd,34500,,,
BAYLOR COLLEGE OF MEDICINE,Graduate School of Biomedical Sciences,35500,,2022-2023,2nd,35500,,,
Baylor College of Medicine,Biochemistry & Molecular Biology,34300,1.57,2021-2022,6th and up,34500,,,200
Baylor College of Medicine,biotechnology,34000,1.56,2020-2021,1st,34000,,,
Baylor College of Medicine,CPSB,34446,1.58,2021-2022,4th,34500,,,54
Baylor College of Medicine,biotechnology,30000,1.37,2020-2021,,30000,,,
Baylor College of Medicine,Immunology and Microbiology,33300,1.52,2018-2019,1st,33500,,,200
Baylor College of Medicine,,33450,1.53,2019-2020,4th,33500,,,50
Baylor College of Medicine,Biochemistry and Molecular Biology,33390,1.53,2018-2019,2nd,33500,,,110
Baylor College of Medicine,Department of Environmental science,18000,0.82,2018-2019,2nd,23000,,,5000
Baylor College of Medicine,Biochemistry ,29925,1.37,2017-2018,3rd,30000,,,75
Baylor College of Medicine,Quantitative and Computational Biology,32000,1.46,2017-2018,1st,32000,,,
Baylor College of Medicine,Developmental Biology/ MD-PhD,31000,1.42,2017-2018,3rd,31000,,,
Baylor College of Medicine,Biochemistry,29980,1.37,2016-2017,2nd,30000,,,20
Baylor College of Medicine,Molecular and Human Genetics,31000,1.42,2017-2018,1st,31000,,,
Baylor College of Medicine,Biochemistry,30000,1.37,2016-2017,1st,30000,,,
Baylor College of Medicine,c,29950,1.37,2016-2017,1st,30000,,,50
Baylor College of Medicine,Immunology,28750,1.32,2016-2017,1st,29000,,,250
Baylor College of Medicine,Molecular and Cellular Biology,29990,1.37,2016-2017,2nd,30000,,,10
Baylor College of Medicine,The Integrative Molecular and Biomedical Sciences Graduate Program,29000,1.51,2013-2014,4th,29000,,,
Baylor College of Medicine,Molecular and Cellular Biology ,28900,1.5,2014-2015,1st,29000,,,100
Baylor College of Medicine,integrative molecular and biomedical sciences,28900,1.5,2014-2015,3rd,29000,,,100
Baylor College of Medicine,Biochemistry,28990,1.51,2014-2015,,29000,,,10
Baylor College of Medicine,Molecular and Human Genetics,29000,1.51,2014-2015,4th,29000,,,
Baylor College of Medicine,developmental biology,28975,1.51,2014-2015,2nd,29000,,,25
Baylor College of Medicine,Integrative Molecular and Biomedical Sciences,29500,1.54,2014-2015,3rd,29500,,,
Baylor College of Medicine,Immunology,28925,1.51,2014-2015,6th and up,29000,,,75
Baylor College of Medicine,deveopmental biology,28900,1.5,2014-2015,3rd,29000,,,100
Baylor College of Medicine,Molecular and Human Genetics,29000,1.51,2014-2015,3rd,29000,,,
Baylor College of Medicine,Neuroscience,29000,1.51,2014-2015,3rd,29000,,,
Baylor College of Medicine,Developmental biology,28950,1.51,2014-2015,3rd,29000,,,50
Baylor College of Medicine,Neuroscience,29000,1.51,2014-2015,2nd,29000,,,
Baylor College of Medicine,IMBS,29000,1.51,2014-2015,5th,29000,,,
Baylor College of Medicine,Neuroscience,29000,1.51,2014-2015,6th and up,29000,,,
Baylor College of Medicine,Biochemistry,27980,1.46,2014-2015,3rd,28000,,,20
Baylor College of Medicine,Interdepartmental moleculer and biomedical sciences ,28600,1.49,2014-2015,5th,29000,,,400
Baylor College of Medicine,IMBS,29000,1.51,2014-2015,1st,29000,,,
Baylor College of Medicine,Biochemistry,29000,1.51,2014-2015,6th and up,29000,,,
Baylor College of Medicine,Neuroscience,28980,1.51,2014-2015,4th,29000,,,20
Baylor University (BU),Higher Education/Leadership,30000,1.51,2024-2025,1st,30000,,,
Baylor University (BU),Physics,28000,1.41,2022-2023,2nd,28000,,,
Baylor University (BU),Physics,21000,1.15,2014-2015,1st,21000,,,
Baylor University (BU),Environmental Science,26000,1.31,2022-2023,,26000,,,
Baylor University (BU),Philosophy ,22000,1.11,2022-2023,1st,,22000,,
Baylor University (BU),Statistics,28000,1.41,2022-2023,1st,28000,,,
Baylor University (BU),Biomedical studies,19000,0.96,2016-2017,,20400,,,1400
Baylor University (BU),Biology,30000,1.51,2021-2022,1st,30000,,,
Baylor University (BU),Religion,22000,1.11,2022-2023,1st,22000,,,
Baylor University (BU),Psychology and Neuroscience,29000,1.46,2021-2022,2nd,29000,,,
Baylor University (BU),Mechanical Engineering,23608,1.19,2021-2022,2nd,24000,,,392
Baylor University (BU),History,16500,0.83,2020-2021,2nd,,12000,4500,
Baylor University (BU),Educational Leadership,21000,1.06,2020-2021,2nd,21000,,,
Baylor University (BU),Geosciences,26000,1.31,2015-2016,1st,,26000,,
Baylor University (BU),Biology,24000,1.21,2021-2022,1st,24000,,,
Baylor University (BU),Mechanical Engineering,24000,1.21,2020-2021,1st,24000,,,
Baylor University (BU),Physics,26600,1.34,2020-2021,1st,26600,,,
Baylor University (BU),Physics,28600,1.44,2020-2021,1st,28600,,,
Baylor University (BU),Geosciences,19000,0.96,2018-2019,6th and up,21000,,,2000
Baylor University (BU),Physics ,21000,1.06,2018-2019,1st,24000,,,3000
Baylor University (BU),Philosophy,18500,0.93,2018-2019,4th,,18500,,
Baylor University (BU),church and state,10300,0.57,2011-2012,5th,,12000,,1700
Baylor University (BU),History,17500,0.88,2018-2019,,,21000,,3500
Baylor University (BU),Biology,21000,1.06,2017-2018,6th and up,22000,,,1000
Baylor University (BU),Biology,23371,1.18,2018-2019,3rd,25000,,,1629
Baylor University (BU),Mechanical ,19500,0.98,2018-2019,2nd,23500,,,4000
Baylor University (BU),Religion ,19500,0.98,2017-2018,2nd,,19000,4000,3500
Baylor University (BU),Religion,19000,0.96,2016-2017,1st,,18500,4000,3500
Baylor University (BU),Sociology,20398,1.03,2017-2018,,23500,,,3102
Baylor University (BU),psychology and neuroscience,13000,0.65,2016-2017,1st,13000,,,
Baylor University (BU),English,14300,0.72,2016-2017,1st,14300,,,
Baylor University (BU),Political Science,18000,0.91,2016-2017,1st,18000,,,
Baylor University (BU),Philosophy,19400,0.98,2015-2016,1st,,23000,,3600
BCM,QCB,37500,,2022-2023,1st,37500,,,
Bentley University,Accounting,30000,,2018-2019,1st,30000,,,
Berklee Valencia,Contemporary Performance (Music),45570,,2022-2023,6th and up,4000,,,49570
Bharathiar ,Life science,20000,,2016-2017,1st,,,,20000
Bilkent University,Philosophy / Phd,500,,2022-2023,2nd,,250,250,
Bilkent University,International relations,3600,,2016-2017,1st,3600,,,
Bilkent University,International relations,3600,,2016-2017,1st,3600,,,
Bilkent University,International relations,300,,2016-2017,1st,300,,,
Binghamton University - SUNY,Mechanical engineering,30000,1.45,2024-2025,2nd,,24000,6000,
Binghamton University - SUNY,philosophy,21000,1.02,2023-2024,3rd,,21000,,
Binghamton University - SUNY,Mathematics,23000,1.11,2024-2025,1st,,23000,,
